id	date	decision	rationale	evidence	result
D021	2026-09-03	Donanim klavye (Ctrl+A..Z kontrol kodlari, oklar/Home/End/PgUp/PgDn/Esc, terminal yuzeyi focusable) + EventSync.syncNow (select-onTimeout) + Agents manuel senkron dugmesi; ET spike: upstream repo bulunamadi (MisterTea/EternalTerminal 404), connectbot forku yok — ET ertelendi	gunluk kullanim klavye/tablet; ET icin resmi android yolu yok, sifirdan cross-compile riskli	84/84 + lint 0; EventSyncTest syncNow/parse sabitleri; Agents/Terminal Compose smoke	ET icin alternatif: mosh yeterli (P07 primary), ET dusuk oncelik
D022	2026-09-03	JetBrains Mono 2.304 (OFL-1.1) bundle: res/font regular/bold/italic/bolditalic, TerminalFont tum terminal yuzeylerinde; lisans metni assets/licenses altinda; Hakkında bolumune atif; anti-slop copy taramasi temiz (tek dil TR, spesifik bos-durum metinleri, placeholder yok)	plan P10 terminal kalitesi; kullanici "ai slop olmasin" istegi — profesyonel gorunum	87/87 + lint 0; Connections/Files/Agents/Terminal Compose UI smoke yeşil	font +1.1MB APK; ileride degisken font ile tek dosyaya inilebilir
D023	2026-09-03	Kopmada otomatik yeniden baglanma: TerminalController scheduleRetry (ustel backoff 2s..32s, maks 5), manualClose flag, retryAttempt rozeti (UI cip "Yeniden baglaniyor n/5"), auth/host-key hard-stop korunur (P08); kalici ayar auto_reconnect_drop (varsayilan acik)	mosh gelene kadar SSH oturum dayanikliligi; kullanici "her acidan gelistir" istegi	90/90 (3 yeni AutoRetryTest: drop-retry, manual-close-no-retry, auth-hardstop) + lint 0	doConnect retry icinde senkron degil; CONNECTING bekleme 15s tavanli busy-poll (100ms) — ileride StateFlow.first ile temizlenebilir
D024	2026-09-03	Launcher adaptive icon (vector >_ prompt, TermBg zemin, monochrome dahil) + inbox Room kaliciligi (DB v5: digest/revision/unread, TTL sweep, resolve/markRead DBye yansir, init-race resolvedIds korumasi) + test heap 3g/forkEvery 12 (Robolectric sandbox birikimi Compose idle timeoutuna yol aciyordu)	varsayilan ikon slop gorunumu; inbox yeniden baslatmada sifirlaniyordu (P13 24s kurali); test altyapisi kararliligi	96/96 (0 skip, canli dahil) + lint 0; InboxPersistenceTest 3 senaryo	migrate: fallbackToDestructiveMigration debug icin yeterli; release oncesi gercek migrasyon
D025	2026-09-03	P18 release zinciri: env-driven upload imzasi (keystore repo-disi 0600, yoksa debug fallback), R8 proguard (eddsa X509Key dontwarn), REPRODUCING.md, package-ccs.sh (kaynak arsivi+native build-info+font lisanslari), sbom.sh android releaseRuntimeClasspath eklentisi, build-release.sh tam kapi (lintRelease+testReleaseUnitTest+assembleRelease+bundleRelease+apksigner+checksums); releaseImplementation ui-test-manifest (release unit test manifesti)	plan P18 GA kapisi; imzali AAB+APK headless uretilebilir oldu	testReleaseUnitTest 96/96 + lintRelease 0 + apksigner v2 dogrulandi; build-release.sh uctan uca yesil	gercek upload keystore kullanicida; cosign/SLSA CI isi
D026	2026-09-03	Splash/pencere temasi (windowBackground+status/nav bar TermBg, beyaz flas yok) + Home "Son baglantilar" hizli baglan (onboarding yalniz host yokken) + test worker heap 2g/forkEvery 6 (11GiB makinede daemon 3g + worker 3g tasmasi Compose idle timeoutuna yol aciyordu; 2 tam rerun kararli)	anti-slop ilk izlenim ve gunluk akis; CI kararliligi	98/98 x2 tam suite (canli dahil) + lint 0; HomeScreenUiTest 2 senaryo	heap ayari makineye ozel; CI runnerda yeniden degerlendir
D027	2026-09-03	P14 gercek dilim: gateway /chat endpoint (jail ici JSONL transcript -> blok akisi, Claude/Codex parser secimi, traversal 400) + Android GatewayClient.chat + ChatDialog (rol-bazli render) + FilesScreen workspace .jsonl -> sohbet gorunumu (parse edilemezse duz onizleme fallback)	P14 onceki handoff'ta tamam yaziyordu ama UI/veri kaynagi yoktu; anti-slop: gercek yapildi (icerik backend'e hic gitmez, yalniz SSH tuneli)	Go endpoint testi (fixture+traversal) + ChatScreenUiTest x2 + GatewayTunnelLiveTest canli /chat; 100/100 + lint 0	transcript jail disindaysa (~/.claude) erisilemez; jail genisletme kullanici tercihi
D028	2026-09-03	/chat-recent allowlist kesfi (~/.claude/projects + ~/.codex/sessions, yalniz .jsonl, icerik yok metadata var) + /chat?src= ile jail bu koklere ayri uygulanir; Workspace 'Agent sohbetleri' listesi + dokun -> ChatDialog; TerminalPerfTest esikleri (1MB stilli feed 80ms olcumu, 3s esik)	jail disi transcript sorunu (D027) amaç-ozel allowlist ile cozuldu — workspace jail gevsetilmedi; perf SLO headless izlenir oldu	Go allowlist testi (src jail ayri, traversal 400, non-jsonl 400) + canli tunel chat-recent+chat; 103/103 + lint 0	allowlist dizinleri sabit; kullanici-ozel dizinler ileride config ile
D029	2026-09-03	P04 Easy Pair uctan uca: CLI 'pocket-agent pair' (tek-seferlik ed25519 keypair, authorized_keys marker pair-<kod>, backend session payload 5dk TTL tek-kullanim, terminal ASCII QR + XXXX-XXXX kod + --png) + backend Pairing.Payload (claim'de doner, GET sizdirmaz) + Android PairingClient + QR scan (zxing-embedded, CAMERA runtime) + XXXX-XXXX elle giris diyalogu; anahtar formati OPENSSH (PKCS8 ed25519 OpenSSH client'ta invalid format) — PairingLiveTest E2E: pair->claim->SSHJ connect->409->unpair	kullanici: baglanma QR/kod ile olmali, komplike olmasin	canli E2E yesil + 107/107 + lint 0; ssh client ile pair anahtari dogrulandi	QR secret'i omuz-surfe acik (terminalde basili); ileride bootstrap-secret ile claim sertlestirilebilir
D030	2026-09-03	networkSecurityConfig: cleartext yalniz dev backend IP + localhost + 10.0.2.2 (emulator); base-config false; prod yolu Caddy+TLS (deploy/) — domain yoksa self-signed telefonda guvenilmez	backend erisilemedi: Cleartext HTTP hatasi (API 28+ default)	manifeste networkSecurityConfig bagli; derleme yesil	kullanici kendi domain+TLS kurdugunda IP satiri kalkar
D031	2026-09-03	Console redesign (yalniz gorsel): koyu lacivert zemin (0A0D13), 4-6dp keskin koseler, outlined kartlar (1dp border, elevation 0), TerminalFont baslik/etiket tipografisi, tek yesil vurgu; ozel ince topbar (prompt glifi + sekme + oturum sayisi) + ozel altbar (ikon+kisa mono etiket, aktifte yesil cizgi); ANSI 16 palet console ile uyumlu; test-referansli metinler korundu	kullanici: 'gorsel cok yetersiz, ai slop olmasin, sadece gorsel'	107/107 (UI suite'ler dahil) + lint 0; palet-pinli buffer testleri yeni degerlere guncellendi	light tema sade tutuldu; AMOLED varyanti korunuyor
D032	2026-09-03	TerminalScreen tamamen yeniden yazildi: oturum seridi (durum-entegre mono pill'ler, retry rozeti inline), edge-to-edge yuzey, yari-saydam overlay aksiyon cubugu (ara/paylas/tam-ekran/kapat + status metni), hata+arama overlay banner, ghost tuslar (ctrl toggle), prompt'lu borderless giris cubugu; tum davranislar korundu (OSC52, bracketed paste, donanim klavye, resize, gecmis)	kullanici: terminal tamamen degissin, modern olsun	107/107 + lint 0; TerminalScreenUiTest her iki senaryo yesil	ham ESC byte sorunu: write-tool sonrasi byte taramasi standart adim oldu
D033	2026-09-10	TerminalScreen giris katmani yeniden tasarlandi (0.13.0): ayri komut satiri kaldirildi — terminal yuzeyi dogrudan yazilabilir (1dp gorunmez kontrollu IME alani; degisim imeEdit saf fonksiyonuyla delta->PTY, backspace/ctrl/oklar onPreviewKeyEvent); alta bitisik tek satir tus seridi (ctrl mandali + esc/tab/^c/^d/^z + oklar + home/end/pgup/pgdn + semboller + yapistir/klavye), ripple yok, basiliyken hafif zemin; odakta ince yesil border; resize onSizeChanged cikti alanina geri baglandi; ok tuslari artik gercek CSI dizisi (eskiden yalniz ESC)	kullanici: komut icin ayri satir olmasin, altta smooth/temiz/kullanimi kolay tasarim, ai slop olmasin	112/112 unit (5 yeni TerminalInputTest: ekleme/silme/paste/no-op) + lint 0 + assembleDebug; TerminalScreenUiTest yeni tus seridini dogrular	ham terminal hissi (uzak echo); IME gizli alan kontrollu tutuldu (tampon desenkronu yok); cihazda IME/donanim klavye davranisi dogrulanmali
D034	2026-09-10	Terminal IME/klavye duzeltmesi (0.13.1): gorunmez IME alani cikti alaninin ustunden altina tasindi (odakli view altta -> sistem dogru pan/resize yapar); activity windowSoftInputMode=adjustResize; viewport her degistiginde (viewportEpoch) aktif satira scrollToItem; klavye toggle clearFocus() kullanir (sistem geri tusuyla kapatilan IME de hide() no-op kaliyordu); LazyColumn ust contentPadding ile overlay aksiyon cubugu ilk satirlari gizlemez; matchCursor/viewportEpoch mutableIntStateOf (autoboxing lint)	kullanici: klavye acilinca yazilan yer klavyenin altinda kaliyor, gorunmuyor; kullanici performansini artiracak tespitler istendi	112/112 unit + lint 0 (uyari 35->34) + assembleDebug; manifest adjustResize; APK v0.13.1	cihazda IME davranisi hala dogrulanmali (emulator yok); gerekirse edge-to-edge + imePadding alternatifi
D035	2026-09-10	Genel tasarim modernizasyonu (0.13.2): Theme.kt olcu tokenleri (Space) + katmanli yuzey paleti (shadow yok) + 4/8/10/14dp koshe + tam tipografi (mono baslik/label, sans govde); Components.kt kutuphanesi (ConsoleCard/CardHeader/ListRow/TagPill/EmptyState/SegmentedControl/SettingRow + 8dp ConsoleButton ailesi); tum ekranlar bu dile tasindi (Home/Connections/Agents/Files/Settings); PocketApp chrome: marka glifli 52dp ust bar + oturum pill, alt navigasyonda ust cizgi yerine animated dolgu vurgusu; FilterChip/FilledTonalButton/cift FAB kaldirildi	kullanici: genel tasarimi ai slop olmayacak sekilde modernlestir; M3 varsayilanlari ile ozel console dili karisikti (pill buton vs keskin kart, tekrarlanan inline Card borderlari)	112/112 unit + lint 0 (35 uyari) + assembleDebug; tum Compose UI smoke suite yesil; APK v0.13.2	cihazda gorsel dogrulama bekler; tema/tipografi tokenleri sonraki ekranlarda da tek yerden ayarlanabilir
D036	2026-09-10	Terminal alt-ekran imlec duzeltmesi + tema/font katalogu (0.14.0): resizeScreen savedRow/savedCol korur (ajan acikken viewport degisince ?1049l cikisinda imlec 0 a dusup kabuk prompt u eski satirlarin ustune yaziyordu — clear gerekiyordu); tus seridine ^l eklendi; ConsoleThemes 18 populer tema (Claude/Codex/GitHub/Notion/Dracula/Nord/Gruvbox/One Dark/Tokyo Night/Catppuccin/Solarized/Monokai) + ConsoleFonts 6 font (JetBrains/IBM Plex/Space Mono OFL-1.1 gomulu + sistem mono/sans/serif); TermStyle artik ANSI indeksi saklar, renk render aninda aktif temadan cozulur (canli tema); PocketAgentTheme LocalConsoleTheme/LocalMonoFont yayar; AppTheme(themeId,fontId,fontScale) DataStore kalici	kullanici: ajan (codex/claude) acip kapattiktan sonra terminal kalabalik, mevcut yazinin icine yaziliyor, clear gerekiyor; cok daha kapsamli tema ve font istendi	117/117 unit (ThemeCatalogTest x3, altScreenCursorSurvivesResize, sgrStoresAnsiIndexForTheming) + lint 0 + assembleDebug; APK v0.14.0 77MB	cihazda gorsel dogrulama bekler; +2 gomulu font ~470KB; light temalarda bazi sabit ANSI/diff vurgulari nuansli kalabilir
D037	2026-09-10	Kullanilabilirlik paketi (0.15.0): terminal sonda-bosluk render bugi duzeltildi (toAnnotatedString imleci gercek sutuna kadar bosluk doldurur; RowBuf.build kipkirma korunur); BEL->haptic; pinch-zoom fontScale; tus seridi snippetlari; ilk-kurulum sihirbazi; PEM dosya importu + ed25519 anahtar uretimi + baglanti sina; ~/.ssh/config importu; pocketagent://add deeplink; yedekleme karti; CLI help/onboard/completion/doctor/--json/logs; live-env.sh, Makefile, AGENTS/CONTRIBUTING, pre-commit, CI go1.26+android; backend /v1/metrics; deploy bootstrap+verify-backup	kullanici: bosluk yazinca gorunmuyor + bu makinede yapilabilir tum kullanilabilirlik adimlari	143 unit + lint 0 + assembleDebug 0.15.0; go test/vet + buf lint + tum kapilar yesil; e2e P04 yesil; TerminalRenderTest x5 + SshConfig/KeyGen/Backup/AddHostLink testleri	cihazda IME/haptic/pinch dogrulanmali; i18n extraction kaldi; probe promiscuous (ilk pin halen gercek baglantida)
D038	2026-09-10	Tam ekran tus seridi (0.15.1): terminal tam ekraninda Scaffold nav bari yerine TerminalKeyBar altta gosterilir; onFullscreenChange callback ust katmani bilgilendirir, sekme degisiminde sifirlanir	kullanici: tam ekranda altta ana menu bari degil kisayol bari olsun	144/144 unit + lint 0 + assembleDebug 0.15.1; fullscreenKeepsKeyBarAndNotifies UI testi	nav bari yalniz Terminal+fullscreen'da gizlenir; diger sekmeler etkilenmez
D039	2026-09-10	Kullanici-performans turu (0.15.2): overlay aksiyon cubugu tam ekranda da gorunur (ara/paylas/tam-ekran toggle/reconnect/kapat — ayri cikis FAB i kaldirildi); BackHandler zinciri (arama -> tam ekran -> Files dizin ustu); Files dokunulabilir breadcrumb yol cubugu (segment->cd, sona otomatik kayar); baglanti karti tamamen tiklanabilir; tus seridi 46dp+13sp+KEYBOARD_TAP haptic; aramada onceki-eslesme; nav bar 64dp/22dp/10sp + selectable(Role.Tab); ust bar 56dp; Hakkinda surumu PackageManager'dan okur	kullanici: tasarimi kullanici performansini artiracak sekilde modernlestir, ai slop olmasin — yeniden boyama yerine gercek surtunme noktalari	144/144 unit + lint 0 + assembleDebug 0.15.2; fullscreen testine overlay erisimi assertleri eklendi	breadcrumb/workspace cd davranisi cihazda dogrulanmali; haptic siddeti cihaz bagimli
D040	2026-09-10	Gorsel/edge-to-edge turu (0.15.3): WindowCompat.setDecorFitsSystemWindows(false) + transparent cubuklar + isNavigationBarContrastEnforced=false (enableEdgeToEdge elle esdegeri, activity-ktx yok); ConsoleTopBar/ConsoleNavBar kendi statusBars/navigationBars inset'ini uygular, Scaffold.contentWindowInsets=0 (fullscreen'de olu bosluk kalmasin); sistem cubugu ikon kontrasti theme.dark'i izler; tam ekranda ust bar da gizlenir; API 31+ native splash (values-v31 platform attr'lari, bagimlilik yok — postSplashScreenTheme compat attr'idir, aktivite ayni tema ile devam eder); FAB'lar dikey kolon; ConsoleCard.borderColor parametresi (aktif baglanti + bagli hero primary border); Files breadcrumb surfaceVariant kapsayici	kullanici: gorsel degisiklikler de istiyoruz, kullanici performansi odakli, ai slop olmasin	144/144 unit + lint 0 + assembleDebug 0.15.3 (AutoRetryTest.remoteDropTriggersRetry bir kez flaky timeout, tek basina yesil — zamanlama testi)	edge-to-edge davranisi cihazda dogrulanmali (gesture/3-button nav, cutout); splash yalniz API 31+'de gorunur
D041	2026-09-10	Agents akis pipeline'i uctan uca baglandi (0.15.4): emit/emit-hook/daemon komutlari eklendi (journal-first + socket flush + daemon-yoksa dogrudan POST); hooks install artik gercek wiring yapar — claude ~/.claude/settings.json hooks objesi (SessionStart/End/Stop/Notification, kullanici hook'lari korunur), codex notify satiri; JSON config'lere marker yazimi durduruldu + StripMarkers onarimi; config.tenant eklendi (varsayilan 'default', uygulama tenantToken'iyla eslesir); doctor daemon.sock sondasi; onboard daemon'i enable --now baslatir; journal.Open ust dizin olusturur	kullanici: servera baglaniyorum ama Agents'ta 'aktif agent olayi yok' diyor — host tarafi pipeline hic implemente edilmemisti	go test (emit/wiring/flush suite) + canli e2e: emit->backend->GET /v1/events ve daemon socket->flush dogrulandi; 144/144 android unit + lint 0 + 0.15.4 APK	claude/codex disindaki 10 agent icin gercek hook semasi arastirmasi ileride; daemon'un host_id/tenant'i pair akisindan otomatik almasi dusunulebilir
